,岗位ID,工作经历数量,工作职位,公司名称,专业,学校,学校层次,社会经历数量,职位名,组织名,项目数量,项目名称,技能数量,荣誉数量,期望职位,工作职位1,公司名称1,专业1,学校1,学校层次1,职位名1,组织名1,项目名称1
777,430,3,1629,3823,384,1146,10,2,466,2365,0,0,3,3,378,1649,3824,0,0,0,1,2426,0
778,328,0,0,0,1275,894,11,0,0,0,2,6285,40,7,0,0,0,1275,894,11,0,0,6532
779,430,3,1203,1340,874,896,10,1,1,2143,2,1857,7,8,0,1203,3228,1762,991,10,0,0,9288
780,328,4,2340,2241,1296,1147,10,0,0,0,0,0,0,8,0,2535,2490,1,1147,10,0,0,0
781,328,0,0,0,525,1163,10,0,0,0,1,2559,30,17,634,0,0,271,890,3,0,0,0
782,418,2,654,1815,1195,471,11,1,1,1850,3,12026,3,9,0,1,3232,1297,1012,8,0,0,12569
783,328,0,0,0,1195,894,11,0,0,0,3,9870,54,13,532,0,0,1682,2,3,0,0,7242
784,328,2,249,1226,1297,455,3,0,0,0,4,3863,4,2,602,919,581,219,276,10,0,0,10365
785,418,0,0,0,1195,12,11,0,0,0,2,13083,27,8,704,0,0,1,900,10,0,0,13084
786,417,1,1,3307,279,400,11,1,729,876,0,0,8,1,0,0,0,279,400,11,0,0,0
787,516,1,2313,3302,1980,788,8,0,0,0,4,6108,17,0,0,0,0,107,509,12,0,0,6006
788,418,0,0,0,1275,550,12,0,0,0,2,8687,14,5,0,0,0,1275,1012,8,0,0,10359
789,412,3,164,1452,912,402,10,1,461,789,0,0,25,9,0,1203,3566,1185,352,11,0,0,0
790,326,1,22,1415,433,1163,10,0,0,0,2,12105,45,11,0,0,0,1784,250,3,0,0,10129
791,418,2,29,69,1297,837,3,0,0,0,5,2825,24,7,0,31,666,1296,433,10,0,0,4475
792,518,1,1,1043,423,547,10,0,0,0,5,12629,8,3,602,0,0,361,1065,12,0,0,7435
793,519,0,0,0,1,177,11,5,376,540,0,0,23,6,0,0,0,1236,177,11,1,1370,0
794,517,0,0,0,1195,1156,11,0,0,0,2,843,17,16,0,0,0,1265,1180,3,0,0,1599
795,517,1,226,3249,1125,327,9,0,0,0,4,4990,10,3,0,0,0,1205,400,11,0,0,6102
796,324,0,0,0,1195,919,3,0,0,0,3,5927,14,3,771,0,0,1195,198,12,0,0,6778
797,430,3,417,2044,380,1156,11,3,297,2406,1,7187,4,16,0,417,1836,384,312,10,202,718,0
798,326,1,647,820,1297,624,9,2,1,281,2,6551,4,8,658,0,0,1291,396,11,1,1245,4161
799,418,0,0,0,1457,590,10,1,368,1220,1,7284,24,16,0,0,0,1285,590,10,0,0,0
800,516,1,249,3350,1297,510,10,4,500,1087,1,1931,7,8,0,0,0,1297,510,10,500,1389,0
801,326,1,2261,1891,1798,919,3,0,0,0,2,11442,7,6,0,0,0,1297,680,10,0,0,11435
802,427,3,1133,2715,383,680,10,1,631,1499,0,0,0,13,0,2042,1541,383,690,3,0,0,0
803,519,1,2244,3579,1297,989,12,0,0,0,2,7260,13,7,67,0,0,1297,980,11,0,0,6958
804,418,1,1,4376,1297,980,11,0,0,0,2,8134,75,8,0,0,0,1296,954,10,0,0,10059
805,331,0,0,0,1784,1163,10,0,0,0,3,8004,10,6,188,0,0,1784,1018,3,0,0,8005
806,340,2,1,2389,937,796,8,0,0,0,3,1913,4,0,0,1427,3989,386,249,10,0,0,151
807,328,1,2199,3063,1348,909,5,0,0,0,3,10676,22,0,0,0,0,383,969,10,0,0,8836
808,417,2,1,4192,1064,396,11,1,506,1269,5,9500,24,6,0,1,3150,375,604,11,0,0,9396
809,516,2,1,3382,1289,919,3,8,1,594,3,8085,13,12,0,215,1595,1294,447,10,1,1982,8084
810,517,0,0,0,1457,12,11,0,0,0,3,2659,2,10,67,0,0,1195,12,11,0,0,104
811,516,1,1,357,11,604,11,0,0,0,2,12098,0,0,0,0,0,11,440,3,0,0,10832
812,418,0,0,0,1296,1163,10,0,0,0,2,6598,43,11,304,0,0,1293,1163,10,0,0,4750
813,418,0,0,0,1297,1163,10,0,0,0,2,1037,22,8,223,0,0,1187,1163,10,0,0,4383
814,516,2,249,3723,1348,624,9,0,0,0,2,8891,2,2,0,2266,4011,277,909,5,0,0,2805
815,418,0,0,0,1285,672,3,0,0,0,1,10766,19,13,0,0,0,1296,590,10,0,0,0
816,328,0,0,0,1296,1152,11,0,0,0,4,5928,37,6,614,0,0,1285,276,10,0,0,2285
817,418,3,1024,297,1297,498,10,1,388,2558,4,6212,21,8,0,2178,1846,1297,498,10,0,0,8537
818,517,0,0,0,1139,212,9,0,0,0,4,5455,15,0,181,0,0,1275,145,3,0,0,3938
819,516,1,1,2717,1204,327,9,0,0,0,0,0,7,3,0,0,0,1189,590,10,0,0,0
820,418,0,0,0,1205,590,10,0,0,0,1,1766,28,2,704,0,0,0,0,0,0,0,0
821,331,1,924,1155,1296,986,3,0,0,0,1,2471,20,9,191,0,0,1296,1019,3,0,0,0
822,517,2,2117,1834,1296,478,10,0,0,0,5,3485,19,6,0,1202,3222,1296,478,10,0,0,8301
823,516,0,0,0,1296,1091,10,0,0,0,1,1882,26,3,0,0,0,474,1091,10,0,0,0
824,516,1,718,218,1296,1091,10,1,450,2327,4,1622,19,9,0,0,0,1296,1091,10,0,0,10861
825,328,2,1032,3737,1195,212,9,0,0,0,1,12749,26,4,251,1032,3770,1195,212,9,0,0,0
826,340,2,2274,2639,1599,969,10,2,1,2054,0,0,5,0,334,158,2610,324,969,10,395,2051,0
827,519,2,2111,2664,1204,413,8,0,0,0,6,5098,0,4,0,2113,3969,1275,514,11,0,0,10117
828,418,0,0,0,1275,1012,8,0,0,0,2,375,29,5,722,0,0,1275,1012,8,0,0,4332
829,418,0,0,0,1476,249,10,0,0,0,2,1104,20,2,0,0,0,380,249,10,0,0,9950
830,406,0,0,0,1268,1147,10,0,0,0,4,6417,5,13,0,0,0,1933,434,5,0,0,8532
831,417,3,871,505,531,1182,8,1,1,2451,1,3152,5,4,0,1,3852,0,0,0,0,0,0
832,517,0,0,0,1195,909,5,0,0,0,3,7664,15,9,0,0,0,1275,1163,10,0,0,11631
833,516,1,1202,4395,646,604,11,0,0,0,4,5136,20,0,770,0,0,1,604,11,0,0,3314
834,412,1,168,3312,1531,980,11,1,85,2110,3,7069,12,16,280,0,0,453,980,11,0,0,3957
835,328,1,427,1020,1971,12,11,0,0,0,3,8247,15,4,10,0,0,1971,1058,8,0,0,1264
836,328,0,0,0,1193,400,11,0,0,0,2,10496,18,4,614,0,0,1193,400,11,0,0,12458
837,328,0,0,0,492,630,11,0,0,0,2,5165,24,11,0,0,0,1688,637,10,0,0,3492
838,328,2,1356,2017,1291,404,10,0,0,0,1,13041,11,10,0,1,2374,0,0,0,0,0,0
839,412,2,2346,3194,1224,630,11,4,638,1403,0,0,6,9,0,1,2374,0,0,0,388,301,0
840,430,2,2432,106,1916,896,10,2,1,1899,2,10681,5,10,0,1540,3917,0,0,0,647,426,9555
841,418,1,2357,4105,1457,12,11,2,93,2113,2,5765,14,14,711,0,0,1205,980,11,15,2113,1527
842,418,0,0,0,416,400,11,0,0,0,4,6023,22,10,0,0,0,1640,1072,3,0,0,1167
843,418,1,900,3727,1297,365,11,0,0,0,1,11127,2,5,0,0,0,0,0,0,0,0,0
844,519,0,0,0,1457,12,11,0,0,0,3,5327,11,17,0,0,0,1227,12,11,0,0,4349
845,328,0,0,0,202,894,11,0,0,0,0,0,23,11,18,0,0,852,894,11,0,0,0
846,332,0,0,0,1,69,8,0,0,0,3,9752,19,32,0,0,0,1688,445,3,0,0,5797
847,518,1,241,2332,1936,909,5,0,0,0,0,0,10,13,67,0,0,1688,683,3,0,0,0
848,518,0,0,0,1289,909,5,0,0,0,3,3759,7,0,0,0,0,1275,2,3,0,0,8640
849,328,2,1203,374,1296,400,11,0,0,0,2,3597,5,4,0,1203,1817,1296,400,11,0,0,12729
850,519,3,1,3846,1,482,9,0,0,0,1,3058,10,25,0,2516,158,279,69,8,0,0,0
851,516,1,746,460,1297,514,11,0,0,0,2,10264,14,0,76,0,0,1296,493,11,0,0,8895
852,516,0,0,0,1296,12,11,0,0,0,1,10992,46,10,16,0,0,1289,909,5,0,0,0
853,342,0,0,0,12,434,5,2,388,965,2,4459,11,4,0,0,0,1185,69,8,388,1832,6373
854,427,2,1627,4093,383,270,10,1,1,1362,0,0,15,1,0,1268,2373,0,0,0,0,0,0
855,328,0,0,0,1474,1182,8,2,367,2449,2,7706,30,9,532,0,0,1227,590,10,1,1216,7286
856,517,0,0,0,1187,590,10,0,0,0,3,10718,0,3,0,0,0,1187,590,10,0,0,10800
857,328,0,0,0,1291,952,11,0,0,0,2,6280,35,5,610,0,0,458,1012,8,0,0,886
858,517,0,0,0,707,1182,8,0,0,0,2,4149,11,2,67,0,0,1282,447,10,0,0,5620
859,516,1,1838,105,1,510,10,0,0,0,1,12195,4,1,0,0,0,1,510,10,0,0,0
860,418,1,823,1810,1297,904,10,0,0,0,2,6856,21,7,0,0,0,1294,103,3,0,0,8461
861,328,0,0,0,1226,400,11,0,0,0,1,12300,22,7,0,0,0,1227,171,10,0,0,0
862,418,0,0,0,1296,69,8,0,0,0,2,3461,23,4,0,0,0,280,581,11,0,0,1164
863,517,1,1,1976,1,829,8,0,0,0,2,7462,4,3,650,0,0,690,1007,10,0,0,9129
864,517,0,0,0,225,624,9,0,0,0,0,0,29,11,0,0,0,225,319,3,0,0,0
865,412,3,820,692,884,847,9,0,0,0,0,0,4,18,0,411,3084,885,362,3,0,0,0
866,519,1,225,3666,1275,909,5,0,0,0,0,0,15,8,0,0,0,1275,909,5,0,0,0
867,418,1,1357,1808,248,1163,10,0,0,0,2,6688,22,2,0,0,0,1195,904,10,0,0,3213
868,430,2,1,26,327,896,10,2,1,443,0,0,0,12,0,1,1968,368,685,3,334,1297,0
869,342,0,0,0,1296,896,10,0,0,0,0,0,47,4,267,0,0,0,0,0,0,0,0
870,430,4,411,31,1144,837,3,2,386,487,1,7589,6,8,0,1647,2979,367,171,10,509,483,0
871,517,0,0,0,1189,991,10,0,0,0,3,8690,10,12,661,0,0,1189,306,11,0,0,8698
872,517,0,0,0,437,12,11,0,0,0,3,2236,23,8,0,0,0,1832,12,11,0,0,6325
873,418,1,1,2374,1,986,3,0,0,0,2,3886,23,0,0,0,0,0,0,0,0,0,12218
874,417,3,118,2466,1485,842,3,0,0,0,0,0,6,4,0,118,2001,971,964,10,0,0,0
875,519,1,1989,937,1,396,11,0,0,0,2,8176,5,4,1,0,0,1,396,11,0,0,10214
876,324,0,0,0,1297,177,11,0,0,0,3,6746,10,9,0,0,0,1296,581,11,0,0,1570
877,418,0,0,0,1297,1163,10,0,0,0,1,11767,14,2,0,0,0,1297,1163,10,0,0,0
878,331,1,916,2597,1297,680,10,0,0,0,3,12625,15,0,0,0,0,0,0,0,0,0,7781
879,418,1,1,3392,1297,1163,10,0,0,0,2,10074,14,4,532,0,0,970,294,12,0,0,11750
880,519,1,1990,4105,1465,400,11,0,0,0,3,4345,13,5,0,0,0,1205,400,11,0,0,4258
881,417,3,1564,2402,381,715,11,1,683,1133,2,12533,4,0,0,1519,4084,0,0,0,0,0,824
882,418,0,0,0,1773,604,11,0,0,0,3,9227,51,4,0,0,0,1296,604,11,0,0,10352
883,516,4,249,1788,1296,1049,8,2,359,953,5,3488,9,11,0,197,3793,1297,425,11,711,952,8624
884,331,1,1203,2100,1296,548,11,0,0,0,2,8256,25,7,0,0,0,1285,225,10,0,0,6853
885,517,2,1838,300,155,853,12,0,0,0,0,0,10,2,0,1838,3857,155,847,9,0,0,0
886,417,2,1564,367,1909,954,10,1,711,2220,0,0,10,3,0,1776,47,448,954,10,0,0,0
887,412,1,1203,3995,16,1053,8,0,0,0,3,7566,7,20,0,0,0,448,810,3,0,0,2041
888,335,3,1,1951,1189,498,10,0,0,0,5,2905,47,39,0,1,1825,1189,498,10,0,0,3250
889,418,0,0,0,1195,976,3,0,0,0,2,6866,22,6,0,0,0,1195,1147,10,0,0,554
890,328,1,2117,3983,982,171,10,0,0,0,1,6330,34,5,614,0,0,1,410,3,0,0,0
891,418,0,0,0,957,69,8,0,0,0,0,0,19,6,31,0,0,1223,680,10,0,0,0
892,342,2,2383,819,0,0,0,2,1,1820,0,0,11,2,0,562,819,0,0,0,1,1821,0
893,328,1,1854,3171,1232,577,11,2,1,1554,3,6296,23,4,573,0,0,1232,577,11,1,1542,6285
894,328,1,249,1166,1226,212,9,0,0,0,4,3727,21,15,0,0,0,1227,948,11,0,0,11888
895,417,2,2227,2374,532,957,10,0,0,0,0,0,12,14,349,73,357,532,970,11,0,0,0
896,516,1,241,4027,1296,1091,10,0,0,0,2,1227,14,5,681,0,0,1297,196,3,0,0,4307
897,427,2,1203,910,460,896,10,0,0,0,0,0,10,8,504,1203,1755,0,0,0,0,0,0
898,328,0,0,0,1195,986,3,0,0,0,2,2910,5,6,532,0,0,1195,609,1,0,0,5871
899,418,1,1373,722,1297,986,3,0,0,0,2,3197,38,13,223,0,0,1,304,3,0,0,6577
900,328,0,0,0,288,1147,10,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
901,417,2,623,2388,354,434,5,0,0,0,0,0,16,6,0,127,4331,0,0,0,0,0,0
902,332,0,0,0,1189,69,8,0,0,0,3,6008,0,28,0,0,0,1189,150,12,0,0,10427
903,418,0,0,0,1226,590,10,0,0,0,1,11191,34,0,215,0,0,0,0,0,0,0,0
904,516,2,1,2651,1297,482,9,0,0,0,3,11604,40,0,0,1,1697,293,482,9,0,0,11635
905,331,0,0,0,361,1216,3,0,0,0,3,1218,29,14,196,0,0,1296,1166,3,0,0,3974
906,328,0,0,0,1909,548,11,0,0,0,3,4602,18,8,722,0,0,1185,644,10,0,0,10488
907,412,3,781,2182,458,88,8,0,0,0,0,0,7,1,0,1203,2118,458,38,8,0,0,0
908,418,0,0,0,1205,427,10,0,0,0,2,8386,22,11,223,0,0,1195,427,10,0,0,12813
909,328,0,0,0,1195,376,11,0,0,0,4,6337,24,6,0,0,0,1275,498,10,0,0,11475
910,418,1,2113,2893,194,482,9,1,193,1055,0,0,26,8,220,0,0,965,604,11,0,0,0
911,412,0,0,0,1253,715,11,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0
912,418,0,0,0,155,1012,8,1,711,1862,2,3455,17,5,722,0,0,0,0,0,0,0,2524
913,332,0,0,0,1275,909,5,0,0,0,3,2336,32,12,298,0,0,1275,394,10,0,0,4742
914,516,3,249,2717,1296,624,9,0,0,0,3,9980,5,6,0,1034,723,1294,177,11,0,0,1485
915,418,0,0,0,1195,590,10,1,13,2162,2,11220,19,7,747,0,0,1205,683,3,0,0,10284
916,517,1,1304,3362,777,1012,8,0,0,0,4,1979,19,0,0,0,0,1275,394,10,0,0,7743
917,332,0,0,0,407,40,10,0,0,0,2,12852,17,8,0,0,0,1240,837,3,0,0,11135
918,418,2,2274,2484,1401,498,10,0,0,0,4,8334,15,11,0,547,1790,331,510,10,0,0,9511
919,418,1,2375,4105,1296,986,3,0,0,0,2,1180,51,10,0,0,0,1296,986,3,0,0,2148
920,342,2,1158,4382,1297,306,11,1,536,746,0,0,12,15,143,1358,1097,1297,341,3,0,0,0
921,328,0,0,0,1649,604,11,0,0,0,1,9177,37,2,0,0,0,1200,447,10,0,0,0
922,519,0,0,0,1296,630,11,1,388,2155,3,6685,11,7,0,0,0,1789,630,11,0,0,1775
923,517,0,0,0,1296,491,10,0,0,0,3,4063,9,1,0,0,0,1195,650,3,0,0,6506
924,331,2,845,397,1296,447,10,0,0,0,1,11794,41,6,0,707,4335,0,0,0,0,0,0
925,324,1,2006,1992,1296,483,12,0,0,0,2,4634,15,7,0,0,0,1297,755,3,0,0,12094
926,331,1,1203,3523,361,1204,8,0,0,0,3,413,0,0,0,0,0,1,1121,12,0,0,10392
927,519,2,1,136,1275,548,11,0,0,0,3,12736,22,7,0,1,591,1275,548,11,0,0,975
928,519,1,1,1417,1457,980,11,2,123,849,6,4264,3,15,0,0,0,1195,393,3,802,812,4288
929,328,2,1,1456,1196,482,9,0,0,0,3,7978,7,0,0,2200,201,1196,510,10,0,0,12576
930,518,0,0,0,248,909,5,0,0,0,2,1554,21,15,0,0,0,1205,427,10,0,0,8285
931,516,2,2313,4375,277,604,11,0,0,0,1,12440,0,7,0,2313,69,280,604,11,0,0,0
932,519,3,1,213,1275,909,5,0,0,0,3,7481,5,12,0,479,3536,578,365,11,0,0,5209
933,418,0,0,0,1205,12,11,0,0,0,3,453,22,11,25,0,0,1195,445,3,0,0,10143
934,344,1,637,1255,1531,400,11,2,701,136,0,0,6,12,0,0,0,448,590,10,367,1617,0
935,331,0,0,0,1297,986,3,1,443,1562,1,1157,23,9,0,0,0,1296,174,3,0,0,0
936,331,1,917,4510,1296,69,8,0,0,0,1,7549,13,11,191,0,0,1297,69,8,0,0,0
937,324,0,0,0,155,1163,10,0,0,0,5,2565,10,11,659,0,0,143,1163,10,0,0,4631
938,518,0,0,0,1385,873,8,0,0,0,4,5953,10,0,0,0,0,1,630,11,0,0,7030
939,517,0,0,0,1275,1163,10,0,0,0,1,4322,12,8,0,0,0,1275,1166,3,0,0,0
940,516,1,1,2642,1296,404,10,0,0,0,1,51,1,5,681,0,0,1285,271,3,0,0,0
941,430,2,1627,2512,380,427,10,0,0,0,1,2820,10,7,381,1627,2320,380,680,10,0,0,0
942,517,2,1,1209,1296,69,8,0,0,0,1,7614,5,10,0,204,1851,1296,276,10,0,0,0
943,331,0,0,0,928,400,11,0,0,0,2,80,6,0,762,0,0,1187,400,11,0,0,9197
944,516,0,0,0,1195,655,11,0,0,0,0,0,18,8,0,0,0,1297,1163,10,0,0,0
945,418,2,2373,64,1297,434,5,0,0,0,2,9353,18,0,0,2358,3418,1297,655,11,0,0,6498
946,331,1,924,3851,1297,1182,8,0,0,0,1,2804,11,6,0,0,0,1296,72,8,0,0,0
947,328,0,0,0,1659,200,3,0,0,0,3,10128,33,9,614,0,0,1195,321,3,0,0,11544
948,417,3,1163,2374,1087,295,12,1,95,497,0,0,4,4,0,116,73,942,171,10,0,0,0
949,328,0,0,0,1289,189,12,2,711,1680,3,4001,69,13,0,0,0,1289,177,11,606,2197,4957
950,418,0,0,0,1457,447,10,1,388,679,2,8210,40,9,704,0,0,1668,447,10,0,0,436
951,418,1,1,3424,1195,12,11,1,1,1624,4,7987,2,3,0,0,0,1189,394,10,0,0,13088
952,331,1,617,1759,1296,1012,8,0,0,0,3,7951,14,0,0,0,0,0,0,0,0,0,11131
953,519,1,1,2301,1,847,9,1,53,1008,0,0,10,19,0,0,0,1,817,12,0,0,0
954,519,0,0,0,1195,327,9,0,0,0,3,3236,15,12,0,0,0,1265,909,5,0,0,1920
955,412,3,1,2700,1064,841,10,2,1,1781,0,0,2,0,409,1486,2893,380,843,3,588,2092,0
956,519,0,0,0,484,177,11,0,0,0,3,4598,12,4,0,0,0,1275,177,11,0,0,9553
957,516,0,0,0,1296,936,12,0,0,0,4,1630,2,7,0,0,0,1296,325,3,0,0,3019
958,412,0,0,0,123,352,11,1,1,262,0,0,9,0,0,0,0,0,0,0,0,0,0
959,328,2,2212,4497,1297,1182,8,0,0,0,0,0,15,0,0,268,1220,1207,900,10,0,0,0
960,519,0,0,0,1195,909,5,0,0,0,3,3165,16,6,0,0,0,924,12,11,0,0,2238
961,517,1,249,1652,1355,1182,8,0,0,0,3,4700,6,9,0,0,0,280,72,8,0,0,4557
962,328,0,0,0,1296,12,11,0,0,0,2,12100,20,2,0,0,0,1275,12,11,0,0,12346
963,519,0,0,0,1296,1188,12,1,482,345,3,11969,3,17,0,0,0,1296,1163,10,0,0,12507
964,517,0,0,0,123,813,12,0,0,0,2,7334,11,8,0,0,0,123,1156,11,0,0,997
965,427,3,2042,40,383,40,10,1,22,119,0,0,5,3,505,2042,1410,383,40,10,0,0,0
966,427,2,1738,287,461,896,10,1,81,1928,1,3066,5,15,0,303,3844,461,982,3,0,0,0
967,517,0,0,0,824,1091,10,0,0,0,2,5592,31,8,0,0,0,1265,1091,10,0,0,5310
968,418,0,0,0,1296,1163,10,0,0,0,2,902,16,6,220,0,0,1296,900,10,0,0,666
969,417,3,820,681,531,991,10,1,462,2151,3,12006,14,5,0,2067,2279,0,0,0,0,0,8268
970,412,3,1487,2962,378,154,10,0,0,0,5,1733,8,4,0,280,3473,453,154,10,0,0,10538
971,328,1,1,2374,1297,1142,12,0,0,0,1,11954,10,16,0,0,0,1296,15,12,0,0,0
972,331,0,0,0,1195,980,11,0,0,0,3,9615,17,7,0,0,0,1275,1141,3,0,0,2959
973,517,0,0,0,1,909,5,0,0,0,2,12913,33,13,0,0,0,143,680,10,0,0,422
974,328,1,893,201,1195,69,8,0,0,0,1,12366,11,0,0,0,0,1275,171,10,0,0,0
975,519,0,0,0,1192,406,3,0,0,0,5,10031,3,0,0,0,0,1296,1012,8,0,0,9907
976,519,1,241,1684,1,1163,10,0,0,0,2,8418,2,4,0,0,0,0,0,0,0,0,10563
977,340,2,1333,2569,1368,493,11,0,0,0,2,8602,14,0,0,967,2828,1296,279,3,0,0,3364
978,326,0,0,0,1275,616,11,0,0,0,4,11845,0,15,0,0,0,1265,1002,3,0,0,12785
979,418,0,0,0,1195,12,11,2,49,2236,1,8350,14,8,0,0,0,1195,680,10,487,420,0
980,418,2,241,1640,1297,1182,8,0,0,0,1,3733,18,7,0,2373,1946,1297,991,10,0,0,0
981,418,0,0,0,1297,1182,8,0,0,0,2,356,11,11,0,0,0,1297,267,3,0,0,4103
982,519,1,241,386,1275,471,11,0,0,0,2,10872,22,19,0,0,0,0,0,0,0,0,5905
983,418,0,0,0,1204,894,11,0,0,0,2,10383,18,8,0,0,0,1189,300,3,0,0,8271
984,519,0,0,0,1204,919,3,2,627,1900,5,11154,14,3,0,0,0,1275,894,11,627,1980,2245
985,418,0,0,0,1,126,8,0,0,0,2,6370,20,2,714,0,0,1,755,3,0,0,3903
986,418,0,0,0,1297,1012,8,0,0,0,0,0,21,2,0,0,0,1,1012,8,0,0,0
987,328,0,0,0,1,1163,10,0,0,0,3,4572,31,4,0,0,0,279,890,3,0,0,7324
988,328,0,0,0,179,655,11,0,0,0,2,7359,0,5,214,0,0,1800,270,10,0,0,4706
989,519,3,422,1456,1972,700,8,0,0,0,6,5450,23,18,0,1,1453,1,1075,8,0,0,10615
990,418,1,2352,3733,1296,12,11,1,711,1596,2,10400,10,7,0,0,0,1296,715,11,0,0,11848
991,418,2,1,1887,1741,12,11,0,0,0,1,5825,18,7,531,449,1815,1265,447,10,0,0,0
992,418,4,1029,2374,193,212,9,0,0,0,3,6504,10,10,0,1029,2176,280,590,10,0,0,1077
993,516,0,0,0,1296,498,10,0,0,0,5,10034,12,9,0,0,0,1296,498,10,0,0,10032
994,418,0,0,0,124,276,10,0,0,0,0,0,29,13,0,0,0,1275,162,3,0,0,0
995,516,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
996,418,2,2358,3295,737,980,11,0,0,0,3,7116,27,5,223,1,3297,737,980,11,0,0,7168
997,418,0,0,0,1195,445,3,0,0,0,1,11989,20,9,23,0,0,1205,682,3,0,0,0
998,517,0,0,0,1359,1182,8,0,0,0,3,1731,16,16,0,0,0,280,1156,11,0,0,3695
999,516,5,241,2597,1297,212,9,0,0,0,2,7617,23,13,66,241,2893,280,1021,3,0,0,8473
1000,418,1,445,4139,1297,1152,11,0,0,0,2,1121,23,5,0,0,0,0,0,0,0,0,9373
1001,412,0,0,0,1381,1147,10,2,190,2378,0,0,9,6,0,0,0,0,0,0,267,2379,0
1002,516,0,0,0,169,482,9,0,0,0,4,9124,4,15,769,0,0,1296,1163,10,0,0,6482
1003,417,2,1782,1585,1347,249,10,4,474,625,0,0,6,23,0,1881,42,453,249,10,1,663,0
1004,516,1,1831,1983,1449,919,3,0,0,0,1,9582,17,3,0,0,0,1194,12,11,0,0,0
1005,417,2,2407,3846,1513,947,10,1,750,144,0,0,11,12,346,808,2374,531,434,5,0,0,0
1006,418,0,0,0,1773,590,10,0,0,0,2,4207,40,4,722,0,0,277,590,10,0,0,8865
1007,430,1,1646,2127,384,604,11,1,587,1271,0,0,4,0,0,0,0,0,0,0,0,0,0
1008,418,1,1034,1456,123,434,5,0,0,0,2,6863,18,10,0,0,0,1682,904,10,0,0,321
1009,517,2,1879,4075,361,359,12,0,0,0,2,3182,19,0,0,2389,2293,579,1096,12,0,0,3971
1010,328,2,1029,2748,1290,381,10,0,0,0,1,1818,11,8,0,1029,1815,0,0,0,0,0,0
1011,331,0,0,0,1296,171,10,0,0,0,2,9604,11,4,36,0,0,1296,171,10,0,0,9602
1012,516,1,1289,4104,1289,177,11,0,0,0,3,7424,4,6,0,0,0,1275,177,11,0,0,7424
1013,519,0,0,0,279,1012,8,0,0,0,1,695,19,0,657,0,0,278,1012,8,0,0,0
1014,519,1,1,3286,248,40,10,0,0,0,3,4918,19,9,657,0,0,1285,249,10,0,0,2673
1015,418,2,241,4368,1457,503,12,0,0,0,3,4996,8,8,0,241,4052,1457,510,10,0,0,12743
1016,519,1,241,3974,1296,474,10,0,0,0,2,864,3,15,0,0,0,1205,474,10,0,0,865
1017,418,1,1372,1456,1297,427,10,0,0,0,1,7848,14,0,722,0,0,0,0,0,0,0,0
1018,340,5,1523,535,349,291,8,0,0,0,3,10501,12,1,331,1523,1867,1017,291,8,0,0,1480
1019,417,3,1061,298,1378,493,11,0,0,0,2,10665,9,11,0,820,3926,1377,749,3,0,0,8482
1020,418,0,0,0,1296,588,12,0,0,0,3,12566,12,4,0,0,0,1296,590,10,0,0,9533
1021,518,0,0,0,1275,1156,11,0,0,0,0,0,24,4,308,0,0,1688,1156,11,0,0,0
1022,328,0,0,0,1195,1163,10,0,0,0,3,1949,7,5,614,0,0,1205,991,10,0,0,1926
1023,517,3,1965,2634,1296,376,11,0,0,0,1,5213,0,9,0,1965,3846,1297,1147,10,0,0,0
1024,427,2,1755,4093,1506,306,11,2,749,708,3,3130,5,3,0,1268,259,1495,306,11,300,702,12297
1025,328,0,0,0,1296,901,10,0,0,0,2,10012,23,8,0,0,0,1437,467,3,0,0,9973
1026,328,0,0,0,1289,909,5,0,0,0,3,8847,12,23,614,0,0,1,1163,10,0,0,11880
1027,516,1,163,949,1775,493,11,0,0,0,0,0,15,14,0,0,0,636,581,11,0,0,0
1028,342,0,0,0,499,40,10,2,13,2316,2,295,15,7,0,0,0,381,1085,3,695,2315,9643
1029,519,0,0,0,1457,655,11,0,0,0,2,4672,9,16,0,0,0,1205,948,11,0,0,4734
1030,418,2,1,1934,1784,1163,10,0,0,0,3,4888,30,8,216,1,3341,1,1195,12,0,0,12994
1031,519,2,1916,3944,1296,471,11,0,0,0,3,7148,4,8,453,1024,3012,1285,894,11,0,0,9912
1032,517,2,2303,4007,1296,1012,8,0,0,0,1,10910,34,2,67,727,3120,1296,1012,8,0,0,0
1033,518,1,1718,1456,1297,1156,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
1034,517,0,0,0,1275,548,11,0,0,0,4,8406,17,6,0,0,0,1275,425,11,0,0,10903
1035,418,0,0,0,1652,445,3,0,0,0,1,149,18,0,532,0,0,0,0,0,0,0,0
1036,418,0,0,0,1297,1156,11,0,0,0,2,5827,25,0,736,0,0,1195,590,10,0,0,2489
1037,418,0,0,0,1195,715,11,0,0,0,3,8117,10,7,0,0,0,1265,171,10,0,0,3491
1038,332,0,0,0,165,909,5,0,0,0,2,5371,29,10,0,0,0,1698,590,10,0,0,6271
1039,418,0,0,0,1297,909,5,0,0,0,2,11781,16,2,309,0,0,1290,1178,3,0,0,7896
1040,516,0,0,0,1296,936,12,0,0,0,4,1630,2,7,0,0,0,1296,325,3,0,0,3019
