岗位ID,工作经历数量,工作职位,公司名称,专业,学校,学校层次,社会经历数量,职位名,组织名,项目数量,项目名称,技能数量,荣誉数量,期望职位
418,0,[],[],[636 93 1255],[1366 10 892],[7 27 18],0,[],[],1,[3199],39,0,[]
418,1,[287],[2022],[1358 284],[1342 737],[7 24],0,[],[],1,[5263],15,2,[]
418,0,[],[],[1538 1263],[21 184],[13 12 24],0,[],[],2,[8751 9286],15,8,[244]
412,0,[],[],[171 1890],[696 967],[13 12 24],0,[],[],3,[10244 4616 5400],31,4,[]
418,0,[],[],[0 0],[514 514],[4 18],0,[],[],3,[9148 1641 9048],24,0,[]
412,0,[],[],[1358 1358],[21 21],[13 12 26 11],0,[],[],1,[9936],8,4,[]
417,3,[1901 2180 1530],[5416 3560 5502],[1704 481],[99 203],[7 24],0,[],[],5,[17776 15016 3591 1487 2820],9,15,[]
340,1,[2922],[4897],[1351 1265],[204 468],[4 24],0,[],[],3,[6381 13755 3825],7,15,[]
328,1,[167],[1745],[21 1254],[427 427],[13 12 26 11],0,[],[],2,[17206 17257],9,4,[561]
430,0,[],[],[397],[468],[11],1,[808],[241],0,[],10,9,[]
519,1,[2661],[3015],[1538 0],[587 587],[12 24],0,[],[],3,[6705 8936 1163],19,0,[]
412,3,[0 2370 1420],[7 4789 3607],[1143 919],[184 1332],[12 18],0,[],[],1,[16196],12,2,[]
418,2,[1287 1287],[5554 2799],[1358 1357],[696 696],[13 12 26 11],0,[],[],1,[16090],21,4,[]
328,0,[],[],[1357 1358],[737 737],[12 24],0,[],[],3,[9830 17823 17378],38,2,[]
406,2,[0 2143],[4274 2132],[1265 1255],[479 542],[0 26 11],1,[797],[1215],1,[3301],8,4,[]
331,0,[],[],[0 1255],[293 293],[12 24],0,[],[],4,[9347 17729 17725 18129],17,10,[773]
328,0,[],[],[1255 1255 1244],[1063 231 822],[4 27 26 11],0,[],[],3,[6431 8799 9598],9,1,[]
519,1,[2297],[4886],[1357 294],[822 373],[13 12 18],0,[],[],3,[4394 14749 10390],8,9,[88]
347,4,[2997 1977 1976 595],[5559 4879 2686 3942],[1374 1323],[666 497],[13 12 18],0,[],[],0,[],5,6,[780]
516,3,[468 287 287],[4879 4095 769],[1358 1358],[587 587],[12 24],0,[],[],2,[4674 4011],3,7,[]
418,0,[],[],[1255 1252],[542 542],[13 12 26 11],0,[],[],1,[5150],25,7,[]
328,0,[],[],[1255 1255 1255],[250 250 591],[8 5 13 12 23 5 13 12 26 11],0,[],[],0,[],3,0,[]
518,0,[],[],[1336 1336],[465 465],[13 12 26 11],1,[693],[2062],3,[13601 4371 13064],12,16,[]
516,1,[2798],[3327],[860 1357],[1063 1321],[4 24],0,[],[],3,[7633 7635 10022],6,1,[]
519,1,[287],[1821],[1255 1311],[542 457],[13 12 24],1,[0],[2703],2,[10326 4676],12,0,[]
326,1,[308],[3560],[204 1336],[80 784],[7 24],0,[],[],1,[9550],12,6,[]
328,2,[0 0],[1821 1974],[1551 1551 1263],[177 80 80],[0 22 21],2,[797 277],[1980 305],2,[4579 3340],10,8,[602]
518,1,[2031],[2263],[143 1263],[631 171],[12 18],0,[],[],3,[15738 6980 2564],10,7,[]
418,0,[],[],[1287 1287],[750 312],[13 12 18],0,[],[],1,[7583],38,3,[217]
342,0,[],[],[1357],[1364],[11],0,[],[],2,[5671 9535],23,0,[]
344,3,[1933 1003 2744],[3070 3070 4723],[1141 567],[131 544],[7 24],0,[],[],0,[],3,8,[321]
418,0,[],[],[1287 405],[21 21],[13 12 26 11],0,[],[],0,[],42,8,[]
517,1,[2778],[1821],[235 235 1265],[177 80 321],[0 22 24],0,[],[],3,[14114 6297 1865],18,11,[]
418,0,[],[],[1357 1358],[1314 1130],[13 12 24],0,[],[],3,[9268 8307 9274],30,6,[718]
324,0,[],[],[302 1551],[1088 1063],[12 18],0,[],[],5,[10027 11817 11819 10002 13594],2,15,[]
517,1,[1460],[3139],[171 151 151],[213 222 991],[13 12 27 24],0,[],[],1,[15023],11,10,[69]
328,0,[],[],[1336 1322],[457 457],[12 24],0,[],[],1,[17367],18,6,[]
328,0,[],[],[1357 1255],[21 475],[13 12 24],0,[],[],3,[8620 7016 5128],11,20,[]
328,0,[],[],[1252 1258],[465 1119],[13 12 26 11],0,[],[],1,[17329],35,11,[538]
418,0,[],[],[263 1265],[503 822],[5 13 12 26 11],0,[],[],1,[8774],20,0,[]
331,0,[],[],[356 356 398],[176 80 1087],[0 22 24],0,[],[],2,[5236 17859],40,7,[]
519,0,[],[],[1357 1357],[21 21],[13 12 26 11],0,[],[],4,[8342 16481 3752 18151],6,8,[265]
519,0,[],[],[1350 1336],[1067 1155],[0 21],0,[],[],7,[5919 6934 2795 8964 14646 8127 5894],2,19,[]
340,1,[2548],[458],[1119 0],[503 1109],[5 13 12 26 11],0,[],[],1,[13362],10,6,[]
417,3,[1098 2169 133],[498 498 2707],[371],[546],[11],2,[590 590],[1227 1614],0,[],14,1,[]
331,0,[],[],[1336 1336],[634 670],[0 26 11],0,[],[],2,[12248 9083],25,11,[773]
412,0,[],[],[568 568 1164],[820 820 1153],[0 27 14],3,[393 231 242],[1882 2209 1888],0,[],12,6,[]
516,0,[],[],[506 378],[495 495],[12 24],2,[0 0],[1975 1813],5,[970 1674 954 971 15995],11,11,[]
519,0,[],[],[1538 1729],[1119 1028],[13 12 21],0,[],[],2,[8322 5796],7,13,[]
518,1,[2611],[1821],[1336 1252],[1109 263],[13 12 24],0,[],[],2,[1689 2297],11,17,[]
430,3,[2339 1994 2969],[3795 3836 3795],[1498 401],[1201 931],[7 24],0,[],[],2,[13659 4445],3,3,[]
412,0,[],[],[913],[662],[0],1,[403],[1381],1,[13386],2,0,[287]
417,3,[953 1233 2719],[2439 4912 5505],[580 0 565],[1201 864 717],[7 27 23 5 13 11],0,[],[],3,[16407 17037 11651],12,7,[]
418,0,[],[],[1358 1351],[726 726],[13 12 26 11],2,[211 211],[1661 1662],3,[768 12380 16020],22,1,[]
418,1,[0],[1869],[0 282],[250 1250],[8 5 13 12 14],0,[],[],3,[16345 10188 13873],8,5,[]
331,0,[],[],[378],[784],[11],0,[],[],2,[5504 602],20,0,[35]
519,0,[],[],[1538 1255],[1046 1046],[5 13 12 20 13 11],0,[],[],3,[618 11293 11955],23,0,[]
418,1,[707],[1711],[1357],[359],[11],0,[],[],3,[2094 8757 16048],63,0,[]
340,0,[],[],[1358],[213],[13 11],1,[0],[2754],2,[4270 1000],12,0,[]
519,1,[2446],[2443],[1265 1357],[19 19],[0 14],1,[918],[85],1,[7595],9,5,[]
328,0,[],[],[],[],[],0,[],[],2,[6892 2354],43,7,[]
418,0,[],[],[1357 1265],[1125 1165],[4 18],0,[],[],0,[],21,17,[251]
331,0,[],[],[1255 1252],[1063 670],[4 26 11],0,[],[],3,[7608 9466 11679],33,6,[]
430,2,[2016 86],[4803 2048],[1558 914],[1027 1217],[12 18],2,[539 394],[354 515],2,[13370 1107],10,9,[]
430,2,[2013 437],[794 1058],[916],[213],[13 11],2,[709 211],[613 634],1,[14596],8,8,[]
418,0,[],[],[263 1255],[45 45],[12 24],0,[],[],3,[14402 15169 2141],15,5,[741]
326,1,[919],[2241],[731 0 1192 1288],[1314 1309 1314 1314],[13 12 27 26 12 26 11],0,[],[],3,[7341 12771 4633],17,18,[440]
326,1,[1303],[2241],[1538 1351],[21 21],[13 12 26 11],1,[826],[74],3,[7082 7660 8383],30,6,[]
418,0,[],[],[582 1265],[457 971],[12 18],0,[],[],3,[7126 1304 6441],11,7,[232]
340,2,[1896 133],[275 396],[593 564],[1046 1301],[5 13 12 24],2,[894 590],[2216 232],1,[10957],15,12,[]
427,3,[242 1540 939],[1603 97 898],[481 286],[352 352],[13 12 26 11],2,[0 0],[124 825],0,[],43,6,[516]
418,0,[],[],[1255 1336],[21 21],[13 12 26 11],0,[],[],3,[15899 14500 10268],23,7,[737]
519,0,[],[],[1358 1358],[203 743],[12 18],0,[],[],3,[11253 2188 1647],9,2,[]
417,4,[998 347 733 1075],[3228 4879 29 4780],[588 1448],[352 679],[13 12 24],0,[],[],0,[],11,13,[]
418,2,[0 0],[4278 660],[197 1265 196],[1342 1301 1342],[7 25 21],0,[],[],3,[6450 6446 12031],26,12,[]
417,3,[1948 603 603],[263 2605 3333],[961 403],[691 691],[12 24],3,[0 0 0],[1471 1474 1475],1,[13288],8,19,[353]
412,3,[2341 1749 2215],[3598 172 86],[1749 561 397],[1092 1092 823],[12 25 18],0,[],[],0,[],7,8,[]
519,1,[0],[495],[1357 1357],[717 1027],[8 5 13 12 24],0,[],[],3,[6146 5814 8678],19,7,[]
418,1,[368],[4027],[1252 1252],[1301 1130],[12 24],0,[],[],2,[12977 9968],13,0,[24]
518,3,[896 2655 1314],[4997 3645 845],[1358 1358 298],[978 978 978],[8 5 13 12 23 5 13 12 23 5 13 11],0,[],[],3,[8654 18158 18304],14,8,[630]
412,2,[2945 1620],[1079 3349],[913 389],[213 439],[13 12 26 11],2,[177 777],[2226 980],0,[],0,4,[]
340,3,[1901 1953 231],[924 1108 3449],[1162 573 367],[1027 465 1027],[12 26 12 24],2,[0 0],[27 1912],1,[14912],10,10,[]
412,2,[928 2187],[2116 1630],[1136 1151 1151],[1273 1264 203],[0 27 24],3,[417 701 865],[15 1799 2749],0,[],7,0,[]
335,0,[],[],[1255 1336],[439 439],[13 12 26 11],0,[],[],2,[12773 13713],3,6,[50]
418,0,[],[],[1255],[203],[11],0,[],[],0,[],19,6,[718]
517,0,[],[],[1336 1355],[325 514],[4 18],0,[],[],3,[1729 12578 10466],3,0,[]
328,1,[2677],[2344],[1358 1276],[1046 445],[5 13 12 24],0,[],[],2,[17118 4555],17,0,[8]
517,0,[],[],[1551 1744 1265],[967 967 967],[12 25 24],0,[],[],2,[12610 11842],19,8,[]
342,5,[676 643 0 683 1147],[5272 3756 5455 2306 1022],[30 30 368],[427 427 1301],[13 12 26 12 24],1,[434],[545],1,[2936],0,6,[]
328,0,[],[],[1357 1346],[1301 1298],[12 18],0,[],[],3,[16695 15895 12453],18,6,[]
517,0,[],[],[1336 1326 1754],[750 1178 1096],[13 12 19 18],2,[389 762],[1691 217],8,[3134 11226 14896 10080 11655 7678 7906 10094],19,15,[]
324,0,[],[],[206 96 210],[591 1314 591],[13 12 26 12 26 11],1,[709],[2825],2,[15229 16384],41,16,[]
516,2,[920 915],[3450 2789],[623 1510],[884 638],[7 26 11],0,[],[],3,[7188 2381 16557],12,0,[]
417,3,[108 1559 1775],[2241 4568 3667],[1584 1584],[250 978],[8 5 13 12 23 5 13 11],0,[],[],2,[3679 9914],6,3,[]
347,2,[1646 1938],[2195 31],[1372 1290],[542 1085],[13 12 26 11],0,[],[],2,[1891 408],13,11,[364]
518,2,[686 1491],[3882 4156],[1439 293 293],[889 621 1350],[7 22 21 9],0,[],[],1,[3807],10,2,[]
340,2,[702 828],[2378 2186],[1255 1265],[587 171],[12 18],0,[],[],0,[],27,0,[]
418,0,[],[],[1357 1357 1358],[1199 1109 1321],[7 26 12 24],0,[],[],4,[15898 15308 5211 2285],7,6,[]
418,1,[1287],[5136],[2053 1890 0],[1321 1321 1331],[12 25 14],0,[],[],2,[1086 629],26,4,[737]
342,2,[287 2409],[3901 2338],[291 470],[981 1027],[12 24],0,[],[],1,[4436],5,9,[125]
328,0,[],[],[1293 1293 1293],[220 203 203],[0 25 24],0,[],[],1,[2947],24,13,[]
516,5,[2826 2813 2823 2813 2813],[349 4842 455 270 270],[1357 1357],[1245 1245],[12 24],0,[],[],0,[],0,12,[]
331,0,[],[],[1358 1248],[1046 294],[5 13 12 18],0,[],[],2,[5503 683],23,14,[198]
418,1,[2846],[4060],[1357 1263 1263],[171 518 12],[4 25 21],0,[],[],2,[550 11816],16,8,[]
328,0,[],[],[1357 481],[233 1130],[4 24],0,[],[],2,[8890 12086],38,2,[]
418,0,[],[],[1255 1336 0],[1046 679 1046],[5 13 12 25 20 13 11],0,[],[],3,[504 16108 162],4,2,[]
427,2,[1573 2307],[3470 1534],[1578 483],[1188 521],[7 18],0,[],[],0,[],6,18,[]
342,1,[1437],[3070],[978 1258],[1063 1119],[4 26 11],0,[],[],2,[11889 5469],22,1,[]
412,2,[1539 1539],[3078 976],[1346 1346],[1149 1149],[12 24],3,[459 0 306],[2551 2674 2050],0,[],2,6,[]
412,2,[576 1397],[1037 1702],[1066 0 1282],[1201 1199 1140],[7 22 18],0,[],[],1,[12353],4,7,[]
516,1,[2825],[254],[1357 0],[439 439],[13 12 26 11],0,[],[],3,[8080 11938 8282],14,6,[88]
418,1,[1287],[1355],[1357],[631],[11],0,[],[],3,[5342 5476 12857],27,6,[737]
335,0,[],[],[1287 1286 0 0],[634 638 650 634],[0 26 12 27 14],2,[0 709],[1362 1361],3,[14102 12861 5017],7,10,[]
418,0,[],[],[1358 1358],[21 21],[13 12 26 11],0,[],[],3,[533 15515 12319],15,4,[]
430,1,[0],[4236],[397 401],[1046 681],[5 13 12 18],0,[],[],0,[],8,11,[]
518,1,[471],[473],[1357 1357],[1025 289],[13 12 18],0,[],[],2,[6883 17671],29,7,[88]
519,0,[],[],[1357 1357],[21 263],[13 12 24],0,[],[],3,[10397 10224 17148],13,15,[]
418,0,[],[],[1743 1265],[80 1321],[7 24],0,[],[],1,[9319],45,0,[742]
328,0,[],[],[1743 0 1265],[967 967 967],[12 25 24],0,[],[],1,[11390],10,4,[]
516,2,[0 0],[3045 4624],[1255 1357],[250 506],[8 5 13 12 18],0,[],[],3,[18198 17048 8623],2,14,[]
517,2,[2778 722],[1816 5093],[777 397 1288],[1321 1322 1178],[12 19 18],0,[],[],0,[],2,13,[681]
328,1,[822],[557],[1880 1425],[352 352],[13 12 26 11],0,[],[],0,[],7,8,[]
412,2,[598 2476],[3765 2679],[562 573],[1193 495],[0 24],2,[449 514],[2383 1130],0,[],6,0,[]
328,0,[],[],[1596 0 1326],[638 651 696],[13 12 27 26 11],0,[],[],2,[15780 8256],33,12,[]
417,3,[411 1032 411],[1538 3892 3817],[1588 1442 0 0],[1195 717 717 1195],[7 23 5 13 12 23 5 13 12 21],2,[529 618],[1559 2456],0,[],12,0,[]
430,3,[1863 572 1502],[4196 969 3419],[1136 1136 384],[480 478 1109],[7 27 26 11],1,[590],[2420],0,[],5,18,[]
518,3,[287 2801 0],[2075 1821 4320],[263 1265],[382 587],[8 5 13 12 24],1,[0],[1301],0,[],7,0,[]
340,2,[1316 2893],[86 4106],[1358 1256],[587 587],[12 24],0,[],[],2,[1206 14860],8,0,[]
517,0,[],[],[1287 1286],[1342 666],[7 26 11],0,[],[],4,[13297 3772 12280 13206],37,20,[]
430,4,[2013 1148 2323 2329],[2578 2746 3125 4577],[1824 573],[726 828],[13 12 18],1,[136],[2920],0,[],10,3,[]
328,0,[],[],[1255 1358],[1063 1130],[4 24],0,[],[],4,[883 8541 17930 14972],9,5,[]
516,1,[989],[137],[165 1285],[591 726],[13 12 26 11],0,[],[],4,[3579 9153 7486 16225],17,2,[]
516,0,[],[],[0 1890],[1063 1104],[4 26 11],0,[],[],5,[7492 5391 10431 13626 12914],9,15,[]
328,1,[0],[1107],[1336 1336 1336],[223 203 203],[0 25 24],0,[],[],2,[14107 13777],4,22,[]
518,0,[],[],[1255 1326],[495 785],[12 18],0,[],[],3,[231 18335 7904],19,0,[]
519,2,[2456 767],[267 886],[1357 747],[1046 1342],[5 13 12 21],0,[],[],2,[16936 9457],10,6,[]
340,2,[839 146],[5034 3591],[1290 1836],[1119 465],[13 12 26 11],0,[],[],2,[12479 12480],0,8,[]
418,0,[],[],[0 1354],[708 439],[13 12 26 11],0,[],[],3,[17259 4255 12588],22,0,[721]
517,2,[72 308],[4014 3746],[171 1732],[717 971],[8 5 13 12 18],0,[],[],5,[14225 483 4761 3719 372],12,0,[]
328,0,[],[],[1357 1357],[233 325],[4 18],0,[],[],5,[5751 2208 2198 15894 6011],33,14,[641]
516,1,[679],[3670],[1357 405],[717 80],[8 5 13 12 21],0,[],[],1,[424],8,0,[]
418,0,[],[],[1357 1357],[1314 958],[13 12 18],0,[],[],3,[6092 2008 9249],16,4,[55]
328,0,[],[],[1252 1255],[696 696],[13 12 26 11],2,[692 356],[1527 1480],3,[14658 13759 11967],33,8,[624]
519,2,[288 289],[414 440],[752 1341],[978 1314],[8 5 13 12 26 11],0,[],[],1,[1388],3,12,[482]
517,0,[],[],[1357 1357],[1321 203],[12 24],0,[],[],3,[10834 6557 5590],4,3,[]
418,2,[1212 1212],[767 764],[1336 1336],[1063 250],[4 23 5 13 11],0,[],[],2,[10024 12880],3,4,[]
331,0,[],[],[263 1254],[1125 157],[4 18],0,[],[],0,[],34,4,[]
516,1,[2819],[3070],[1357 1287],[1155 1155],[7 21],0,[],[],1,[8195],0,12,[694]
517,2,[291 292],[3590 1574],[1357 1319],[1059 1032],[0 24],0,[],[],2,[16161 11472],0,8,[]
331,0,[],[],[1358 1255],[726 165],[13 12 18],0,[],[],2,[13799 9836],8,2,[]
519,0,[],[],[1538 1263],[978 978],[8 5 13 12 23 5 13 11],0,[],[],5,[7526 327 14898 7936 5901],6,7,[]
332,0,[],[],[263 671],[1125 310],[4 18],0,[],[],2,[9023 13477],14,14,[]
418,1,[1296],[267],[1110 301],[509 300],[12 18],0,[],[],1,[16052],34,0,[715]
418,0,[],[],[1358 1358],[495 249],[12 15],0,[],[],1,[10255],15,10,[24]
418,1,[0],[5056],[1252 284 0 0],[465 465 1231 465],[13 12 26 12 27 26 11],0,[],[],2,[13632 549],8,1,[]
328,0,[],[],[553 0 284],[1321 1321 700],[12 25 18],0,[],[],2,[5839 11383],33,7,[]
519,1,[0],[1379],[1336],[638],[13 11],0,[],[],5,[13339 777 13222 1361 13342],9,36,[]
418,1,[1287],[3070],[1358 1358],[475 717],[12 23 5 13 11],0,[],[],2,[6862 17015],18,8,[741]
418,0,[],[],[0 1248],[822 824],[13 12 18],0,[],[],0,[],16,16,[]
347,1,[1518],[2057],[1040 1379],[923 563],[7 24],0,[],[],9,[1609 14434 14762 15050 16314 16311 1605 1608 1606],21,2,[343]
519,1,[312],[2452],[204 1336],[80 679],[7 24],0,[],[],1,[17613],16,4,[]
516,1,[0],[5450],[0 1358],[1074 1155],[0 21],0,[],[],2,[15414 363],8,2,[]
519,2,[0 0],[226 3210],[0 0],[1016 1245],[0 24],0,[],[],3,[16778 17874 16740],9,1,[]
418,2,[1141 1303],[1821 5118],[1358],[475],[11],2,[211 959],[2891 289],1,[13160],13,4,[232]
427,3,[1570 867 1570],[2793 262 2794],[400],[784],[11],2,[621 841],[482 1613],0,[],14,0,[]
418,0,[],[],[1287 1287],[80 679],[7 24],0,[],[],1,[10182],39,0,[]
517,0,[],[],[1357 1357],[634 634],[0 14],0,[],[],3,[15537 11525 7588],12,0,[676]
517,2,[0 0],[441 4454],[1337 0 513 513],[1130 937 1389 1314],[12 27 27 26 11],3,[590 0 0],[2519 2519 2512],5,[18326 7411 12866 18313 1390],35,11,[]
518,1,[1491],[5246],[1935 1935],[213 50],[13 12 18],0,[],[],4,[2661 2661 3003 3002],36,10,[88]
418,1,[1586],[4633],[1357 1258],[21 213],[13 12 26 11],0,[],[],1,[16329],38,9,[]
340,3,[346 2204 702],[4879 3070 458],[398 397],[1109 1342],[13 12 21],2,[424 514],[2894 2907],0,[],7,10,[]
418,0,[],[],[1357 1346],[1259 314],[0 24],0,[],[],3,[12314 1791 10444],7,3,[]
328,1,[0],[1117],[1248 1248],[203 203],[12 24],0,[],[],3,[10145 498 9900],27,6,[]
518,0,[],[],[1287 1293],[1301 737],[12 24],0,[],[],5,[18094 13717 13715 16313 16294],19,5,[]
517,0,[],[],[1264 1255],[427 50],[13 12 18],0,[],[],4,[14490 10528 6950 15502],3,10,[466]
418,0,[],[],[1538 1265 1265],[465 526 465],[13 12 27 26 11],0,[],[],2,[1378 9285],43,7,[]
519,1,[0],[402],[0 1358],[503 203],[5 13 12 24],0,[],[],4,[18320 14168 17281 11470],0,4,[]
331,0,[],[],[1255 1016],[21 1288],[13 12 18],0,[],[],3,[2441 15813 13134],11,7,[769]
418,0,[],[],[1743 1255],[696 696],[13 12 26 11],0,[],[],3,[9923 10519 9798],40,5,[232]
328,0,[],[],[1350 1355],[1046 1046],[5 13 12 20 13 11],1,[0],[2304],2,[13441 13436],6,3,[]
418,0,[],[],[1255 1254],[352 1122],[13 12 18],0,[],[],1,[7764],42,11,[741]
518,0,[],[],[1255 1358],[1071 213],[0 26 11],0,[],[],3,[17852 15816 1676],16,0,[]
417,4,[1604 725 598 1529],[2575 4547 4966 4957],[593 561],[1245 1245],[12 24],2,[627 793],[2017 2018],0,[],16,10,[120]
430,2,[463 2560],[2883 3094],[397 398],[1046 779],[5 13 12 18],0,[],[],0,[],3,5,[521]
331,0,[],[],[231 1358],[468 39],[12 18],0,[],[],2,[573 7717],35,4,[198]
519,0,[],[],[0 0],[670 670],[13 12 26 11],0,[],[],2,[8792 16397],0,8,[488]
517,1,[261],[2832],[1255 1336],[978 1025],[8 5 13 12 26 11],0,[],[],1,[9044],19,8,[186]
331,1,[786],[4145],[1265 1255],[151 1085],[0 26 11],0,[],[],4,[12094 5378 9931 466],10,9,[198]
328,1,[0],[1822],[1357 1358],[696 696],[13 12 26 11],0,[],[],1,[17235],13,11,[154]
328,0,[],[],[1357 1355],[21 21],[13 12 26 11],3,[177 526 845],[54 84 75],3,[16071 6669 16623],24,13,[]
519,2,[2451 2451],[3233 3245],[0 1265],[382 696],[8 5 13 12 26 11],0,[],[],5,[6120 17940 15390 4388 10664],5,4,[]
517,1,[280],[412],[1255 284],[1046 1046],[5 13 12 20 13 11],0,[],[],3,[7672 7682 1713],9,3,[]
418,0,[],[],[1358 1358],[465 475],[13 12 24],0,[],[],1,[5964],21,8,[737]
418,1,[1273],[2315],[819 1286],[1155 1125],[7 18],0,[],[],2,[17464 11851],28,13,[737]
519,1,[2755],[1402],[0 1293],[439 872],[13 12 18],0,[],[],4,[796 14371 2010 4206],2,10,[]
516,1,[0],[4872],[1357 1357],[573 573],[12 24],0,[],[],2,[2913 15723],4,3,[]
519,1,[308],[3509],[1551 294],[1063 21],[4 26 11],0,[],[],6,[7218 13571 6434 13597 9485 7111],13,17,[]
418,2,[1373 810],[353 1187],[751 725],[1025 351],[13 12 18],0,[],[],1,[6023],19,25,[549]
418,0,[],[],[1264 1358],[573 311],[12 18],2,[709 709],[2443 763],2,[1525 3652],49,9,[715]
328,1,[1141],[13],[0 1354],[1046 730],[5 13 12 24],0,[],[],3,[5630 13644 5865],3,2,[]
418,1,[1271],[412],[308 1288],[1046 679],[5 13 12 24],0,[],[],2,[5435 13682],0,0,[244]
324,2,[1491 1491],[1 3111],[881 1336],[822 822],[13 12 26 11],0,[],[],5,[11415 12396 2465 11107 2679],7,4,[]
418,1,[1296],[357],[1358],[1155],[6],0,[],[],3,[18223 17299 5917],37,8,[]
328,1,[6],[1821],[1177 1351],[21 21],[13 12 26 11],0,[],[],1,[3145],23,6,[]
412,5,[2112 1775 2960 1795 1573],[4908 5278 2244 5176 968],[1456],[691],[11],0,[],[],4,[17988 14200 14201 1324],0,17,[]
517,0,[],[],[1786 1336 0],[1130 465 1231],[12 26 12 14],1,[494],[2521],6,[13716 14726 17247 16318 1365 13714],10,14,[395]
418,0,[],[],[1743 1346],[293 293],[12 24],3,[449 126 0],[732 343 1921],3,[9329 4064 12385],10,7,[]
517,1,[287],[3040],[1255 1292],[250 726],[8 5 13 12 26 11],0,[],[],2,[13696 6467],8,2,[]
519,1,[1491],[721],[1293 1293],[1119 815],[13 12 18],0,[],[],1,[8932],12,8,[482]
518,0,[],[],[1935 1357],[1015 1087],[0 24],0,[],[],2,[6365 13408],6,11,[]
328,0,[],[],[],[],[],0,[],[],0,[],0,0,[]
516,1,[0],[4273],[1538 1255],[1342 670],[7 26 11],0,[],[],4,[7329 6910 6929 4642],17,7,[]
517,1,[1539],[2055],[1286 1286],[1314 1314],[13 12 26 11],0,[],[],5,[8618 8280 15749 14498 4296],28,7,[]
347,3,[1942 3008 2803],[4890 4882 5152],[2007 1290],[978 978],[8 5 13 12 23 5 13 11],0,[],[],7,[742 10320 12120 1657 2043 8241 1141],27,8,[]
328,0,[],[],[1350 1350 1358],[1330 1321 1306],[0 25 26 11],0,[],[],3,[10042 16058 10806],22,11,[254]
418,1,[1287],[226],[1286 1293],[666 1301],[13 12 24],0,[],[],0,[],18,0,[]
412,1,[2615],[1055],[0 1358],[591 597],[13 12 14],0,[],[],3,[10939 409 14775],0,0,[]
418,1,[1303],[845],[1255 1326],[518 788],[12 18],0,[],[],3,[10243 4870 4862],22,5,[]
412,2,[1186 163],[3598 5285],[576],[492],[13 11],1,[797],[1114],3,[15396 1337 5357],3,0,[]
516,0,[],[],[1358 1358],[494 722],[0 14],0,[],[],1,[11765],7,0,[694]
412,1,[1557],[1821],[389],[21],[13 11],4,[925 736 312 711],[3119 72 1071 71],0,[],1,7,[]
519,1,[1353],[1587],[1357 1358],[21 21],[13 12 26 11],0,[],[],1,[4424],37,0,[]
340,2,[3081 2804],[597 3661],[1255 1357],[570 1130],[4 24],0,[],[],3,[12923 9365 6375],8,6,[346]
344,2,[1025 1209],[89 2153],[590 452 452],[184 790 184],[12 19 24],2,[576 809],[3040 1817],3,[4900 11906 3437],19,4,[]
342,0,[],[],[49 55 0],[1321 737 1321],[12 25 24],0,[],[],2,[11109 15269],28,5,[133]
342,3,[637 673 686],[1587 3598 2052],[1501 1263 1358],[106 338 1300],[7 27 24],0,[],[],2,[658 2388],5,3,[]
517,3,[2429 2177 2135],[3070 3070 1875],[1350 0 1350],[638 643 638],[13 12 27 26 11],0,[],[],1,[12513],12,8,[471]
340,3,[1901 317 308],[1821 2700 4829],[1255 1255],[233 784],[4 24],0,[],[],2,[5951 7041],6,6,[346]
418,1,[0],[4602],[1358 1358],[1046 787],[5 13 12 18],0,[],[],1,[1252],29,6,[]
412,2,[390 1114],[1062 4453],[573],[492],[13 11],4,[164 270 361 270],[2445 1711 1112 3039],0,[],15,8,[]
418,0,[],[],[1347 305],[384 1025],[7 26 11],0,[],[],2,[1792 15658],63,5,[]
418,0,[],[],[1538 1254],[679 679],[12 24],0,[],[],3,[9656 6727 9353],11,8,[]
517,1,[308],[2833],[1255 1336],[978 465],[8 5 13 12 26 11],0,[],[],2,[2694 14907],15,9,[]
517,0,[],[],[1287 799],[1119 679],[13 12 24],0,[],[],2,[4594 14448],22,7,[]
519,0,[],[],[1358 293],[213 213],[13 12 26 11],0,[],[],3,[13913 7987 11388],16,4,[]
328,1,[1296],[2940],[1538 1263],[1342 1342],[7 21],1,[7],[2893],1,[8821],42,17,[550]
331,2,[1137 1137],[3322 4753],[1358 1358],[1046 442],[5 13 12 24],0,[],[],2,[11836 14951],28,0,[]
324,1,[0],[3277],[1287 1288],[978 1301],[8 5 13 12 24],0,[],[],2,[10610 6542],14,14,[]
518,0,[],[],[1946 1358],[542 815],[13 12 18],0,[],[],5,[7272 9548 5660 5701 7911],18,4,[]
418,1,[2579],[4220],[517 1786],[439 872],[13 12 18],0,[],[],1,[5448],18,14,[758]
519,1,[2740],[2940],[0 1357],[21 21],[13 12 26 11],0,[],[],2,[14245 15408],22,16,[671]
418,0,[],[],[1354],[352],[13 11],0,[],[],2,[1982 17908],33,6,[726]
331,0,[],[],[1357],[1038],[11],1,[0],[3098],3,[12961 10602 11617],11,0,[207]
328,0,[],[],[1287 1286],[1125 1120],[4 18],0,[],[],2,[5634 9351],20,18,[624]
516,1,[310],[226],[168 294],[750 742],[13 12 18],0,[],[],5,[13438 13967 15610 4772 5829],0,9,[]
418,0,[],[],[1287 1288],[250 822],[8 5 13 12 26 11],0,[],[],2,[13094 12268],26,10,[550]
