岗位ID,工作经历数量,社会经历数量,项目数量,技能数量,荣誉数量
516,2,0,7,0,9
430,5,0,0,4,8
335,2,2,4,8,6
418,0,0,5,16,0
418,1,0,3,9,5
516,3,0,0,0,10
517,0,0,2,15,10
519,0,1,4,25,14
418,3,0,4,23,0
417,4,1,4,9,2
516,1,0,3,5,0
517,0,0,1,11,11
412,3,1,2,6,13
326,0,0,5,11,11
328,0,0,4,12,7
328,1,6,2,32,18
328,0,0,3,19,3
418,0,0,2,30,3
417,3,2,0,1,4
418,0,0,2,43,4
418,0,0,3,21,4
516,1,0,3,8,9
418,0,0,0,45,4
340,2,0,2,6,0
331,1,1,1,18,0
519,0,0,2,10,3
328,0,0,2,34,13
340,2,0,1,12,16
328,0,0,1,36,14
326,0,0,4,17,4
518,0,0,4,26,10
418,1,0,2,16,0
519,0,0,2,20,16
342,3,0,3,9,6
326,0,0,3,14,9
342,3,5,3,8,11
328,1,0,3,21,5
328,0,0,3,35,7
517,0,0,2,23,9
418,1,0,1,18,5
418,0,0,0,6,10
418,1,0,2,16,0
430,3,1,0,4,0
418,1,0,2,7,14
328,0,0,3,24,10
418,0,0,3,18,8
519,0,0,8,22,25
418,1,2,2,18,4
340,3,0,1,4,6
516,1,0,3,4,7
418,0,1,2,15,17
328,1,0,3,31,4
516,0,0,3,0,7
516,2,1,2,0,8
517,0,0,3,3,3
331,0,1,2,17,6
331,1,0,3,9,5
418,1,0,2,15,8
417,4,0,2,9,6
519,0,0,8,14,11
516,0,0,3,0,1
517,1,0,2,1,1
418,1,0,2,32,9
427,2,0,0,7,6
328,0,0,2,13,2
418,0,0,3,26,7
417,3,1,3,10,0
517,1,0,0,0,11
326,0,0,2,9,12
418,2,0,2,22,2
418,1,0,2,7,6
519,1,0,2,5,5
328,1,0,3,35,9
418,0,0,2,32,0
340,1,0,1,5,4
331,0,0,2,27,3
418,0,0,3,13,8
517,0,0,3,22,6
517,0,0,2,12,2
328,1,0,2,43,8
418,0,0,3,33,5
519,0,0,2,22,0
418,0,2,3,4,2
331,0,0,3,22,10
328,1,0,4,38,10
328,1,1,2,11,8
328,0,0,1,34,2
516,0,0,2,8,2
418,0,1,3,26,15
328,0,0,2,35,10
516,0,1,3,11,11
518,1,0,6,32,22
412,0,3,1,18,7
328,0,0,2,17,5
517,2,0,1,6,0
516,2,0,4,13,7
406,1,0,3,19,5
328,0,2,2,34,0
418,1,0,2,18,8
342,1,0,3,28,6
516,2,0,4,11,14
418,0,0,2,13,16
418,0,0,3,31,4
328,0,0,2,24,12
516,1,0,2,0,3
340,1,0,0,1,18
517,0,0,1,5,13
331,2,0,0,15,7
417,3,1,2,8,5
418,1,0,2,31,0
417,2,3,0,0,2
328,0,3,1,21,6
430,2,1,2,0,0
517,0,3,2,21,29
412,2,3,0,8,13
519,1,0,3,5,10
418,1,0,2,12,12
427,2,0,0,13,14
328,0,2,3,12,0
427,4,2,0,8,4
519,1,0,4,34,18
412,1,2,0,21,12
331,1,0,1,6,7
417,3,2,1,9,0
331,1,0,3,14,17
418,1,0,3,23,11
418,1,0,5,7,3
328,0,0,2,15,7
418,0,0,3,24,3
328,0,0,7,10,6
516,0,0,6,14,2
519,1,0,4,4,2
328,0,0,0,30,11
516,2,0,1,3,11
418,1,0,2,22,8
331,0,0,2,0,8
517,1,2,4,4,9
519,1,0,2,5,5
519,2,0,2,7,8
519,0,3,2,10,12
331,2,0,2,39,0
418,0,0,4,7,11
519,0,0,4,34,28
331,0,1,6,17,2
519,0,0,1,8,13
412,1,0,4,7,3
328,2,2,2,1,6
517,0,0,0,3,2
517,0,3,2,21,29
328,1,0,2,26,1
418,1,0,1,24,6
517,0,0,2,32,27
430,3,1,2,10,0
516,1,3,0,5,12
519,1,0,2,4,6
516,4,1,0,23,11
418,0,3,1,19,19
418,0,0,1,23,6
517,0,0,3,10,16
519,0,0,3,11,8
418,0,0,2,28,0
519,2,0,2,12,3
519,0,0,1,6,6
518,0,0,5,30,0
418,0,0,1,23,0
418,0,3,3,10,13
328,3,0,0,18,3
430,4,3,0,3,15
331,0,0,4,20,0
517,0,0,3,17,5
519,1,0,2,7,4
517,0,0,8,2,3
331,1,0,1,21,8
328,0,0,4,19,4
418,1,0,2,20,0
328,1,2,3,11,0
516,0,0,4,15,7
418,2,1,1,21,5
519,0,1,2,15,7
519,1,0,3,4,9
342,2,0,1,23,11
516,0,0,2,8,3
328,0,0,1,40,9
519,2,0,1,2,10
328,0,0,4,13,5
417,4,0,2,18,6
417,0,1,5,4,7
340,2,0,1,7,9
418,1,0,1,27,14
331,1,0,2,16,5
342,2,0,4,11,5
412,2,0,2,3,2
516,0,0,3,20,8
519,0,0,2,0,8
516,1,0,3,12,2
518,1,0,2,10,9
418,1,0,2,17,0
328,0,0,2,28,3
518,0,0,3,40,5
412,2,0,0,0,6
417,3,0,1,11,2
328,0,0,2,38,7
516,1,1,5,21,14
326,0,1,4,4,6
412,3,4,0,10,9
417,4,3,4,9,6
331,3,0,2,16,10
519,0,0,3,19,8
519,0,0,2,12,6
418,0,2,7,13,4
328,0,1,3,18,4
417,4,2,0,13,7
326,0,0,2,33,3
518,1,0,5,16,1
516,3,0,1,0,7
418,0,0,0,28,9
342,0,0,2,23,3
412,3,1,1,2,10
331,0,0,3,37,2
328,0,0,3,22,13
418,0,0,1,37,8
519,1,0,2,12,13
328,3,0,3,21,18
328,2,0,0,14,15
417,2,0,2,6,5
517,0,0,2,16,7
519,0,0,4,2,5
518,0,0,2,16,9
331,1,0,3,19,10
328,1,0,3,16,8
518,2,0,3,7,0
328,0,0,4,24,0
519,1,3,1,2,2
328,0,0,3,61,14
418,0,4,2,2,16
519,0,0,4,7,4
412,2,0,5,0,3
519,2,0,0,0,9
519,2,0,1,9,16
517,2,0,1,34,2
328,0,0,0,21,4
328,0,0,2,21,8
412,3,0,1,3,4
516,3,0,2,12,9
517,0,0,3,9,8
328,5,0,2,8,20
342,0,0,2,28,3
516,1,0,2,12,5
516,0,0,3,0,0
418,0,0,2,13,0
516,2,0,3,0,0
516,0,0,3,17,11
418,0,0,2,19,5
342,0,1,3,24,13
412,1,4,0,1,0
418,0,0,2,36,11
340,5,1,1,14,0
418,0,0,3,25,11
519,0,0,3,16,8
418,0,0,2,37,2
344,1,2,7,8,15
412,6,4,0,0,5
518,1,0,5,12,21
519,0,2,2,19,20
418,0,0,3,27,6
519,0,1,5,9,9
519,0,0,1,31,9
418,0,0,2,38,6
517,0,0,3,42,0
328,0,0,0,27,3
516,2,0,2,8,2
519,1,1,0,9,2
517,2,0,3,19,3
519,0,0,1,8,5
335,0,1,0,1,11
418,1,1,1,34,4
418,2,0,2,0,7
328,0,0,5,4,6
418,0,1,2,19,17
412,5,1,0,0,0
331,0,0,1,18,0
519,0,0,2,28,20
331,0,0,4,18,3
418,0,1,1,34,0
331,1,3,2,37,8
331,0,0,3,34,2
328,2,0,4,5,4
412,2,2,0,7,25
516,1,2,0,8,1
518,2,0,1,8,0
418,0,0,2,40,24
331,1,0,2,23,4
417,2,0,1,9,4
324,3,0,4,15,6
516,2,0,2,25,0
412,2,0,0,10,14
519,1,1,1,9,7
328,0,0,2,57,12
418,0,0,2,27,8
418,1,0,5,37,15
328,0,1,5,23,11
412,1,1,4,23,7
418,0,0,4,35,7
418,0,0,2,20,7
519,3,0,4,12,5
418,1,0,0,15,12
418,0,0,2,27,20
516,1,0,0,4,7
342,0,1,2,13,5
516,3,0,2,5,4
412,1,0,3,7,26
418,1,0,3,5,7
328,1,0,3,20,2
328,1,0,0,2,1
418,0,1,2,22,7
332,0,0,2,13,13
326,1,0,4,2,8
328,2,1,5,6,4
328,0,0,2,27,2
518,0,2,3,10,9
418,0,0,3,28,8
324,2,0,0,61,0
418,0,0,2,26,13
516,0,0,3,22,12
328,1,0,1,29,6
517,0,0,3,27,6
328,1,0,1,18,8
517,0,0,4,22,8
519,2,0,4,13,10
516,0,0,3,10,5
430,4,2,4,1,4
519,0,0,6,10,6
418,1,0,2,15,9
519,2,0,4,0,26
516,0,0,1,36,6
328,0,0,3,39,7
418,0,0,2,41,17
518,0,1,2,29,6
418,0,4,2,18,24
417,1,0,3,17,6
418,2,1,3,4,12
418,0,0,3,20,12
418,0,0,2,45,6
519,0,0,3,12,5
418,2,0,1,40,6
328,1,0,2,34,1
418,1,0,0,21,0
328,0,0,7,10,0
519,0,0,3,8,13
412,1,2,3,10,10
418,1,0,2,44,2
519,1,3,2,20,14
516,0,0,2,12,0
516,0,0,5,6,11
328,0,0,3,37,6
328,2,0,3,6,8
342,1,0,7,22,21
331,1,0,4,13,3
417,2,0,0,10,4
417,2,0,1,11,22
519,2,0,1,0,23
516,0,0,4,26,1
516,1,0,1,14,1
516,1,0,4,0,2
516,0,0,1,17,3
412,4,0,1,3,2
427,1,1,2,1,7
418,0,0,1,18,10
412,4,1,0,9,9
519,1,0,1,21,5
418,0,0,3,35,0
328,0,0,3,21,10
328,2,1,1,7,15
519,1,0,1,24,2
418,0,0,2,20,17
430,2,1,0,11,5
519,1,0,3,0,8
516,0,0,2,10,9
328,0,1,0,2,0
519,0,0,2,7,3
516,1,1,1,16,5
331,1,0,1,33,0
344,3,2,0,0,3
518,0,3,3,10,10
412,1,4,0,12,16
331,1,0,2,16,2
418,0,0,2,15,4
331,1,0,2,21,0
331,0,0,2,24,0
342,0,0,2,41,0
518,0,0,2,9,11
517,0,0,6,5,6
519,1,0,1,13,8
516,2,0,2,0,13
328,0,0,3,10,0
517,2,0,2,6,12
406,1,0,0,3,10
418,0,0,2,29,18
418,0,0,1,23,6
518,1,0,0,17,0
342,2,0,2,6,15
418,1,0,1,24,6
412,5,2,1,0,9
331,1,0,1,44,6
340,1,0,2,3,8
328,0,0,3,24,4
516,2,0,3,0,27
519,0,0,3,32,13
418,0,0,2,65,6
328,0,0,3,24,16
418,0,0,2,14,0
418,1,1,3,4,12
347,1,2,3,10,3
517,2,1,0,5,7
519,1,0,1,6,11
418,1,2,2,36,0
519,1,0,1,9,15
344,1,2,0,11,8
418,0,0,2,8,0
418,0,1,3,30,6
342,3,0,1,12,4
519,0,0,2,10,9
418,0,0,2,55,9
518,1,0,0,3,0
518,0,0,4,16,12
340,0,1,0,15,6
412,4,4,1,5,11
412,4,1,1,0,6
342,0,0,2,42,10
406,0,0,3,4,3
519,0,0,2,0,17
347,3,0,3,7,7
418,0,0,0,24,8
412,2,0,0,8,8
516,3,3,1,6,12
519,1,0,3,5,28
418,0,0,3,13,7
418,1,2,1,13,5
332,0,0,0,33,17
418,0,0,1,17,2
418,0,0,2,28,5
328,0,0,2,6,13
328,0,0,3,14,6
418,0,0,3,31,6
328,0,0,2,49,20
412,0,5,0,14,0
328,0,0,3,10,21
331,0,0,1,14,4
519,0,0,2,2,9
519,0,0,2,0,12
328,1,0,1,30,2
328,0,0,2,34,4
430,3,1,0,7,2
417,4,0,0,10,2
430,3,1,4,2,11
418,0,0,3,33,8
340,3,2,2,8,0
412,3,5,1,7,15
418,1,0,3,9,7
519,2,0,0,19,7
340,2,1,3,7,15
418,1,0,1,43,8
519,3,0,3,10,10
418,1,0,2,34,0
418,1,0,2,13,26
328,1,0,2,12,6
519,3,0,2,9,10
328,0,0,3,7,7
328,0,0,3,23,13
418,0,0,1,34,8
340,2,0,1,6,4
344,2,1,2,3,0
342,0,0,1,17,11
331,0,3,5,21,6
412,4,1,0,7,1
412,1,1,0,12,4
418,0,1,2,0,26
418,1,0,1,11,6
328,1,1,1,30,8
418,0,2,2,43,17
517,1,0,7,0,14
332,0,4,3,0,6
516,2,0,4,4,2
332,0,0,2,29,8
517,0,0,3,17,14
331,2,0,0,7,8
328,0,0,4,5,3
412,3,2,1,6,12
519,1,4,4,7,19
406,1,0,2,17,5
418,0,0,2,35,5
344,3,0,2,5,6
418,0,0,4,9,14
517,0,0,4,23,7
340,3,1,0,11,19
518,0,0,5,18,11
328,0,0,2,33,4
332,1,2,0,11,7
519,0,0,3,31,12
516,1,0,1,12,9
332,0,0,3,14,6
331,0,2,5,4,9
412,3,4,1,5,1
344,3,1,1,17,17
328,1,0,3,10,5
331,4,0,4,29,10
331,1,0,1,18,5
418,0,0,2,25,12
418,0,0,1,33,6
418,1,0,1,23,0
418,0,0,3,7,7
517,1,0,0,9,0
519,2,0,3,0,12
326,0,0,2,15,17
427,1,2,2,6,7
516,1,1,0,8,3
344,2,0,3,11,9
331,0,0,2,18,0
418,0,2,4,16,10
328,0,0,3,7,12
328,0,0,2,11,12
328,0,0,0,5,12
418,3,0,2,13,2
331,0,0,2,16,6
418,0,2,2,38,11
519,0,0,5,13,6
418,0,0,3,36,8
328,0,0,3,21,11
331,1,0,3,25,0
324,3,0,3,23,4
516,3,1,3,6,9
418,0,0,2,16,0
331,0,0,1,18,3
517,0,0,5,32,6
344,3,2,3,9,8
328,1,0,1,29,8
516,0,1,2,10,4
417,3,0,0,7,10
332,1,0,3,14,0
418,0,0,1,37,8
418,0,0,2,18,0
418,0,0,2,34,4
518,0,0,1,10,1
417,2,0,3,15,0
516,2,1,5,6,7
331,0,0,3,26,21
340,3,0,4,8,0
412,2,0,0,7,5
519,1,0,3,7,4
347,5,0,3,8,20
517,0,0,2,12,9
418,0,0,2,20,0
331,1,0,2,20,0
331,1,0,2,22,6
332,1,3,5,11,6
328,1,0,1,22,0
516,2,0,1,17,0
326,1,0,2,12,3
328,0,0,4,14,4
331,1,0,0,33,10
519,4,1,0,14,5
418,1,0,2,9,8
516,0,0,1,14,3
342,0,2,3,17,7
519,0,0,1,6,2
406,0,1,5,9,0
516,2,0,4,23,15
418,0,0,4,16,1
518,0,0,4,5,18
516,2,0,2,30,11
417,6,4,0,8,1
347,1,0,1,11,0
326,1,0,0,0,0
517,4,0,2,12,10
412,0,3,2,4,13
430,2,0,0,8,6
331,0,2,1,9,0
332,1,0,5,43,12
430,1,1,0,8,6
519,1,0,3,16,5
342,4,0,1,38,7
328,0,1,1,22,5
519,0,1,1,19,3
331,0,1,3,33,14
328,1,0,0,4,4
418,0,0,2,26,18
418,1,0,2,11,1
417,2,0,1,4,5
328,0,0,2,8,10
516,0,0,2,9,4
516,2,0,2,5,16
516,1,0,1,7,0
342,2,1,3,11,15
412,4,0,2,9,12
516,0,2,0,10,6
518,0,0,3,20,9
516,7,2,2,12,16
519,0,0,3,15,15
519,1,0,4,0,6
418,1,0,1,15,0
519,0,0,5,5,6
517,0,0,3,27,11
412,2,4,1,5,4
516,1,0,3,6,6
347,2,0,5,4,12
519,1,0,2,2,0
328,0,0,2,33,4
331,0,0,2,25,7
328,0,0,3,24,9
418,0,0,1,41,0
332,0,0,3,18,11
342,0,0,3,17,4
516,1,0,2,8,0
326,2,0,2,6,12
418,1,0,1,3,9
516,0,0,3,14,12
331,0,1,2,33,6
517,1,0,0,3,4
331,0,1,0,22,13
418,2,0,0,14,19
331,0,3,2,12,6
519,2,0,1,6,17
412,1,1,0,8,9
412,2,0,6,4,0
412,2,3,0,3,4
328,0,0,2,15,25
418,0,0,1,29,12
342,1,0,1,9,0
517,0,0,4,13,1
418,0,0,3,15,14
418,0,0,3,22,7
517,1,0,3,9,12
412,3,1,0,9,4
517,1,0,2,15,17
516,0,0,4,12,5
328,2,2,3,32,0
328,1,0,2,14,0
516,0,0,4,4,1
412,0,1,0,12,1
324,0,0,2,9,10
418,2,0,3,36,9
328,0,2,3,10,11
516,0,0,2,7,7
418,1,0,1,19,4
328,0,0,1,28,8
412,3,1,1,7,15
328,0,0,3,3,5
418,6,0,1,20,11
412,0,0,0,12,4
418,1,0,1,34,0
332,0,0,2,31,13
328,0,0,2,24,6
324,0,0,6,12,4
328,0,0,3,14,8
418,0,0,1,39,0
418,1,0,1,15,2
418,0,0,2,15,8
412,0,0,3,31,4
418,0,0,3,24,0
412,0,0,1,8,4
417,3,0,5,9,15
340,1,0,3,7,15
328,1,0,2,9,4
430,0,1,0,10,9
519,1,0,3,19,0
412,3,0,1,12,2
418,2,0,1,21,4
328,0,0,3,38,2
406,2,1,1,8,4
331,0,0,4,17,10
328,0,0,3,9,1
519,1,0,3,8,9
347,4,0,0,5,6
516,3,0,2,3,7
418,0,0,1,25,7
328,0,0,0,3,0
518,0,1,3,12,16
516,1,0,3,6,1
519,1,1,2,12,0
326,1,0,1,12,6
328,2,2,2,10,8
518,1,0,3,10,7
418,0,0,1,38,3
342,0,0,2,23,0
344,3,0,0,3,8
418,0,0,0,42,8
517,1,0,3,18,11
418,0,0,3,30,6
324,0,0,5,2,15
517,1,0,1,11,10
328,0,0,1,18,6
328,0,0,3,11,20
328,0,0,1,35,11
418,0,0,1,20,0
331,0,0,2,40,7
519,0,0,4,6,8
519,0,0,7,2,19
340,1,0,1,10,6
417,3,2,0,14,1
331,0,0,2,25,11
412,0,3,0,12,6
516,0,2,5,11,11
519,0,0,2,7,13
518,1,0,2,11,17
430,3,0,2,3,3
412,0,1,1,2,0
417,3,0,3,12,7
418,0,2,3,22,1
418,1,0,3,8,5
331,0,0,2,20,0
519,0,0,3,23,0
418,1,0,3,63,0
340,0,1,2,12,0
519,1,1,1,9,5
328,0,0,2,43,7
418,0,0,0,21,17
331,0,0,3,33,6
430,2,2,2,10,9
430,2,2,1,8,8
418,0,0,3,15,5
326,1,0,3,17,18
326,1,1,3,30,6
418,0,0,3,11,7
340,2,2,1,15,12
427,3,2,0,43,6
418,0,0,3,23,7
519,0,0,3,9,2
417,4,0,0,11,13
418,2,0,3,26,12
417,3,3,1,8,19
412,3,0,0,7,8
519,1,0,3,19,7
418,1,0,2,13,0
518,3,0,3,14,8
412,2,2,0,0,4
340,3,2,1,10,10
412,2,3,0,7,0
335,0,0,2,3,6
418,0,0,0,19,6
517,0,0,3,3,0
328,1,0,2,17,0
517,0,0,2,19,8
342,5,1,1,0,6
328,0,0,3,18,6
517,0,2,8,19,15
324,0,1,2,41,16
516,2,0,3,12,0
417,3,0,2,6,3
347,2,0,2,13,11
518,2,0,1,10,2
340,2,0,0,27,0
418,0,0,4,7,6
418,1,0,2,26,4
342,2,0,1,5,9
328,0,0,1,24,13
516,5,0,0,0,12
331,0,0,2,23,14
418,1,0,2,16,8
328,0,0,2,38,2
418,0,0,3,4,2
427,2,0,0,6,18
342,1,0,2,22,1
412,2,3,0,2,6
412,2,0,1,4,7
516,1,0,3,14,6
418,1,0,3,27,6
335,0,2,3,7,10
418,0,0,3,15,4
430,1,0,0,8,11
518,1,0,2,29,7
519,0,0,3,13,15
418,0,0,1,45,0
328,0,0,1,10,4
516,2,0,3,2,14
517,2,0,0,2,13
328,1,0,0,7,8
412,2,2,0,6,0
328,0,0,2,33,12
417,3,2,0,12,0
430,3,1,0,5,18
518,3,1,0,7,0
340,2,0,2,8,0
517,0,0,4,37,20
430,4,1,0,10,3
328,0,0,4,9,5
516,1,0,4,17,2
516,0,0,5,9,15
328,1,0,2,4,22
518,0,0,3,19,0
519,2,0,2,10,6
340,2,0,2,0,8
418,0,0,3,22,0
517,2,0,5,12,0
328,0,0,5,33,14
516,1,0,1,8,0
418,0,0,3,16,4
328,0,2,3,33,8
519,2,0,1,3,12
517,0,0,3,4,3
418,2,0,2,3,4
331,0,0,0,34,4
516,1,0,1,0,12
517,2,0,2,0,8
331,0,0,2,8,2
519,0,0,5,6,7
332,0,0,2,14,14
418,1,0,1,34,0
418,0,0,1,15,10
418,1,0,2,8,1
328,0,0,2,33,7
519,1,0,5,9,36
418,1,0,2,18,8
418,0,0,0,16,16
347,1,0,9,21,2
519,1,0,1,16,4
516,1,0,2,8,2
519,2,0,3,9,1
418,2,2,1,13,4
427,3,2,0,14,0
418,0,0,1,39,0
517,0,0,3,12,0
517,2,3,5,35,11
518,1,0,4,36,10
418,1,0,1,38,9
340,3,2,0,7,10
418,0,0,3,7,3
328,1,0,3,27,6
518,0,0,5,19,5
517,0,0,4,3,10
418,0,0,2,43,7
519,1,0,4,0,4
331,0,0,3,11,7
418,0,0,3,40,5
328,0,1,2,6,3
418,0,0,1,42,11
518,0,0,3,16,0
417,4,2,0,16,10
430,2,0,0,3,5
331,0,0,2,35,4
519,0,0,2,0,8
517,1,0,1,19,8
331,1,0,4,10,9
328,1,0,1,13,11
328,0,3,3,24,13
519,2,0,5,5,4
517,1,0,3,9,3
418,0,0,1,21,8
418,1,0,2,28,13
519,1,0,4,2,10
516,1,0,2,4,3
519,1,0,6,13,17
418,2,0,1,19,25
418,0,2,2,49,9
328,1,0,3,3,2
418,1,0,2,0,0
324,2,0,5,7,4
418,1,0,3,37,8
328,1,0,1,23,6
412,5,0,4,0,17
517,0,1,6,10,14
418,0,3,3,10,7
517,1,0,2,8,2
519,1,0,1,12,8
518,0,0,2,6,11
328,0,0,0,0,0
516,1,0,4,17,7
517,1,0,5,28,7
347,3,0,7,27,8
328,0,0,3,22,11
418,1,0,0,18,0
412,1,0,3,0,0
418,1,0,3,22,5
412,2,1,3,3,0
516,0,0,1,7,0
412,1,4,0,1,7
519,1,0,1,37,0
340,2,0,3,8,6
344,2,2,3,19,4
342,0,0,2,28,5
342,3,0,2,5,3
517,3,0,1,12,8
340,3,0,2,6,6
418,1,0,1,29,6
412,2,4,0,15,8
418,0,0,2,63,5
418,0,0,3,11,8
517,1,0,2,15,9
517,0,0,2,22,7
519,0,0,3,16,4
328,1,1,1,42,17
331,2,0,2,28,0
324,1,0,2,14,14
518,0,0,5,18,4
418,1,0,1,18,14
519,1,0,2,22,16
418,0,0,2,33,6
331,0,1,3,11,0
328,0,0,2,20,18
516,1,0,5,0,9
418,0,0,2,26,10
516,0,0,4,5,16
324,0,0,2,12,8
430,3,4,0,13,9
519,2,0,4,9,1
418,0,0,3,24,0
324,0,0,5,37,12
427,3,1,0,3,4
328,2,0,1,58,0
412,3,1,0,14,7
328,0,0,2,2,2
418,1,0,3,10,6
328,0,2,2,5,12
340,2,2,2,8,14
516,1,0,2,19,7
517,2,0,4,9,7
328,0,0,2,20,4
328,1,0,0,10,5
328,0,0,1,34,6
517,0,0,4,7,23
331,1,0,1,23,7
332,0,0,2,15,6
517,0,0,1,3,3
331,1,0,2,62,4
412,1,2,2,18,0
519,2,2,0,15,10
418,0,0,3,15,2
418,1,0,5,19,1
331,1,4,3,22,12
516,1,1,4,0,12
519,0,0,3,4,13
328,0,0,2,11,5
347,1,0,2,13,5
517,0,0,3,7,6
324,0,0,3,27,11
332,0,0,4,38,13
418,0,0,1,21,0
517,0,0,2,21,3
418,2,0,3,48,0
328,2,0,1,36,0
517,3,0,2,6,24
517,0,0,3,10,1
418,1,0,1,23,4
418,1,0,2,26,3
519,1,0,4,10,3
332,0,0,2,31,6
517,1,1,3,39,13
417,5,1,0,18,8
412,1,2,4,27,2
518,1,2,3,33,1
517,0,0,5,14,16
418,0,0,2,19,6
417,7,4,0,8,0
328,0,0,1,12,0
344,3,0,0,7,0
326,2,0,3,10,15
519,1,0,0,4,10
417,2,0,4,9,1
412,1,2,2,11,0
328,1,0,5,2,3
417,3,1,1,6,9
331,0,0,2,7,3
518,0,0,2,0,3
412,3,1,0,5,13
344,2,4,2,7,1
418,0,0,4,22,4
516,1,0,2,7,17
517,0,0,2,2,7
342,1,0,3,15,8
412,0,2,2,13,5
418,0,0,1,27,0
326,0,0,1,36,3
516,0,0,7,17,16
516,1,0,2,14,0
328,0,0,3,22,7
518,1,0,2,15,14
332,2,0,3,47,30
517,3,0,1,14,0
418,0,0,2,28,4
331,0,0,2,14,4
418,1,0,1,15,2
412,4,1,1,9,4
519,2,0,4,18,29
519,2,0,5,6,6
332,0,0,2,27,8
519,0,0,3,4,3
328,0,0,2,17,11
519,1,0,2,11,14
328,1,0,2,21,2
342,1,0,2,9,13
517,0,1,3,11,7
418,0,0,2,21,8
328,2,0,3,12,0
331,1,0,1,17,9
430,2,1,0,11,13
516,1,0,2,6,30
418,0,0,3,10,14
331,0,0,3,17,8
519,0,0,5,21,3
418,0,0,2,41,12
328,1,1,3,12,5
328,0,0,2,38,4
412,2,3,3,5,8
418,0,0,2,20,8
412,3,2,0,5,4
418,3,0,2,18,8
342,0,0,3,7,4
518,0,0,3,10,4
516,0,0,2,23,0
326,1,0,3,11,27
516,3,0,1,11,9
516,0,0,3,5,12
340,3,0,1,15,15
516,2,0,1,5,6
418,1,0,4,0,0
347,3,0,0,1,13
427,3,0,3,11,15
517,2,0,3,4,8
519,0,0,1,15,1
412,3,2,0,0,4
418,0,0,2,36,4
516,2,0,1,0,4
519,2,0,0,6,6
331,0,0,2,6,7
406,0,0,6,12,25
344,4,0,4,3,0
516,0,0,8,5,18
328,0,0,2,12,6
519,0,0,3,4,13
418,0,0,1,7,17
519,2,0,2,8,19
412,2,3,1,7,31
418,0,0,1,19,4
328,0,0,2,15,12
430,3,2,0,5,3
328,0,0,3,15,7
516,1,0,6,7,18
328,0,0,4,52,10
516,1,0,4,16,3
417,4,1,0,6,10
328,0,0,3,6,14
516,1,0,1,14,11
328,0,0,2,22,4
342,0,0,3,19,8
519,1,0,2,0,8
418,2,0,1,13,3
516,0,0,2,8,9
418,0,0,1,25,9
519,0,0,0,15,3
328,1,0,0,25,4
418,1,0,2,11,7
517,2,0,4,3,20
328,0,0,1,1,2
328,0,0,2,10,7
418,0,0,2,21,0
328,0,3,2,94,35
418,0,1,3,69,8
418,1,0,6,27,6
516,1,0,4,12,8
516,1,0,2,0,2
328,0,0,3,14,17
516,2,0,5,10,19
418,1,1,1,16,6
517,0,1,0,2,7
430,1,3,0,11,2
427,1,1,0,20,2
519,0,0,1,18,15
340,3,1,4,14,16
331,0,0,2,26,11
328,0,0,3,17,6
342,0,0,3,19,12
517,1,0,4,21,3
519,1,0,6,17,18
519,2,0,0,11,9
342,0,0,4,10,2
328,1,0,1,19,6
406,2,0,1,8,24
417,3,3,1,13,12
340,1,0,1,9,12
331,0,0,3,16,8
331,1,2,3,55,6
342,1,0,2,29,0
328,0,0,3,13,3
418,0,0,2,48,15
331,0,4,6,6,12
430,3,1,0,9,11
427,2,1,2,7,7
328,6,0,1,27,0
412,3,3,2,6,15
418,1,0,1,5,2
519,0,0,5,8,6
418,0,0,2,16,4
406,0,0,3,8,11
517,1,3,0,5,4
331,0,0,3,15,9
519,1,0,1,17,1
418,0,0,2,35,7
342,2,0,2,31,6
516,2,0,2,28,6
516,0,0,3,33,21
517,0,0,1,17,0
412,2,2,0,12,0
517,1,0,3,27,15
516,0,0,0,2,13
518,2,0,0,4,15
519,0,2,0,33,23
328,1,1,1,6,14
516,1,2,4,54,4
516,0,0,2,30,0
418,1,0,0,2,2
344,4,0,1,7,6
516,0,0,0,4,5
517,0,0,7,22,30
519,0,0,3,11,0
418,1,2,2,8,16
417,4,0,2,9,2
519,2,0,0,7,4
328,0,0,1,5,5
516,1,0,1,8,14
324,0,0,2,23,2
418,0,0,3,26,15
518,1,0,1,2,12
519,0,0,3,18,7
518,2,0,3,19,2
418,1,0,2,28,7
328,1,2,1,23,10
331,1,0,4,19,6
418,1,0,1,28,7
347,1,0,3,14,14
517,0,0,4,26,22
516,0,0,2,12,2
418,0,0,2,20,7
519,1,0,0,4,12
519,0,0,2,12,2
331,1,0,3,54,0
344,3,0,4,10,10
406,0,0,3,5,0
342,2,0,2,15,5
516,0,0,2,17,24
517,1,0,3,0,3
519,2,0,1,16,18
519,1,0,2,6,0
328,0,0,5,19,0
417,4,1,1,7,4
517,2,0,1,9,14
328,1,0,4,13,12
417,2,0,3,9,7
516,0,0,4,3,0
516,1,0,2,5,4
328,0,0,4,0,4
519,1,1,2,10,10
418,2,0,3,3,6
519,0,0,3,4,9
516,0,0,1,7,11
519,2,0,2,7,2
326,1,0,1,17,10
418,0,0,2,37,6
418,1,0,3,24,9
328,0,0,1,16,9
328,0,0,2,4,3
331,1,0,3,23,12
406,0,0,6,9,0
418,0,0,2,24,5
517,1,3,4,7,24
